,mean,var,scale
71,-5.335981e-05,0.005603724,0.074858025
72,-3.5985726e-05,0.0057437876,0.07578778
73,-4.1224725e-05,0.0056046136,0.07486397
74,7.862264e-06,0.004811475,0.06936479
75,2.1819107e-05,0.0044426257,0.06665303
76,2.1500355e-05,0.004102193,0.064048365
77,8.207541e-05,0.003973859,0.06303855
78,3.6493428e-05,0.0035709317,0.059757274
79,-3.604985e-05,0.0034249562,0.058523126
80,2.4628867e-05,0.0031482845,0.056109577
81,1.7305692e-05,0.0030302466,0.055047676
82,-2.2137243e-05,0.002958547,0.054392528
83,-1.7791689e-06,0.002762711,0.052561495
84,3.1135373e-06,0.0025946368,0.050937578
85,-5.6560543e-07,0.002454411,0.049542014
86,8.755512e-06,0.0024138012,0.04913045
87,1.2390803e-05,0.0022989176,0.04794703
88,-8.7306835e-06,0.0021471137,0.046336956
89,8.325439e-07,0.0020913822,0.04573163
90,1.2852819e-05,0.0019809871,0.044508282
91,2.029922e-06,0.0018991813,0.043579597
92,-2.5476083e-06,0.0017960295,0.042379588
93,2.4524716e-06,0.0017458214,0.041783027
94,6.678434e-06,0.0016904047,0.04111453
95,-6.2391923e-06,0.0016168199,0.0402097
96,2.9660712e-06,0.0015506407,0.039378174
97,-2.6905653e-07,0.001487829,0.038572386
98,-2.7887102e-06,0.001454714,0.038140714
99,-4.6316092e-07,0.0013992104,0.03740602
100,-6.4301967e-06,0.0013503826,0.036747552
101,-2.1703072e-06,0.0013003502,0.036060367
102,-2.1692085e-06,0.0012548937,0.03542448
103,-7.743998e-06,0.001215054,0.034857623
104,3.8873973e-06,0.0011764826,0.03429989
105,1.7178662e-06,0.0011322001,0.03364818
106,-1.0933301e-05,0.0010883847,0.032990675
107,1.3508003e-05,0.0010524872,0.03244206
108,-9.364263e-06,0.0010228555,0.031982113
109,-2.2560794e-06,0.0009902483,0.03146821
110,9.905628e-06,0.00096124865,0.03100401
111,-1.0356663e-05,0.00093273114,0.030540647
112,4.0861314e-06,0.00090325164,0.030054145
113,3.467648e-07,0.0008757933,0.029593805
114,-2.466161e-06,0.0008515854,0.029181937
115,4.80785e-07,0.0008288423,0.02878962
116,-4.6405866e-08,0.0008059762,0.02838972
117,8.096236e-07,0.0007846135,0.028010953
118,-2.9753303e-06,0.000762277,0.027609365
119,3.873464e-06,0.0007427315,0.0272531
120,-0.00054672244,0.53088564,0.728619
121,-0.0003143579,0.17714939,0.42089117
122,4.0387575e-05,0.1563031,0.39535186
123,-0.00010441621,0.08201238,0.28637803
124,1.9828334e-05,0.07893493,0.28095362
125,-4.3043543e-05,0.06147371,0.24793892
126,-2.1007178e-05,0.06372275,0.25243366
127,-8.742735e-06,0.0530017,0.23022099
128,2.4498071e-05,0.04965073,0.22282444
129,-1.90038e-05,0.044602577,0.21119322
130,1.037665e-05,0.041920993,0.20474617
131,3.3905373e-05,0.038619373,0.19651812
132,7.06125e-06,0.038096305,0.19518274
133,2.628676e-05,0.035847038,0.18933314
134,1.0981263e-05,0.03271942,0.18088509
135,-8.41626e-06,0.03038818,0.17432205
136,-1.7476528e-05,0.028423246,0.16859195
137,-2.9295266e-05,0.027033648,0.16441911
138,-1.3655053e-05,0.024448557,0.15636034
139,1.6851523e-05,0.023097994,0.15198024
140,-3.691455e-06,0.021499436,0.14662686
141,-8.829373e-06,0.02002451,0.14150798
142,1.2299004e-05,0.019357229,0.13913026
143,-8.760705e-06,0.018279092,0.13520019
144,-9.796354e-07,0.017082881,0.1307015
145,6.1179526e-06,0.016403843,0.12807749
146,-4.219045e-06,0.015680647,0.12522238
147,6.249099e-06,0.015045825,0.12266143
148,4.400907e-06,0.01431727,0.1196548
149,-4.71245e-06,0.01382664,0.11758673
150,6.6768694e-06,0.013290061,0.11528253
151,5.997727e-07,0.01283071,0.11327273
152,4.799998e-07,0.012306178,0.110933214
153,6.003684e-06,0.011969828,0.10940671
154,-6.027005e-06,0.011660381,0.10798325
155,4.2281877e-06,0.011169832,0.105687425
156,3.7662512e-06,0.010785889,0.10385513
157,-3.587212e-06,0.010391834,0.10194035
158,5.1045413e-06,0.010124326,0.10061971
159,1.5390439e-06,0.00984898,0.09924203
160,-3.6526174e-07,0.009532648,0.097635284
161,3.3082124e-06,0.0091876,0.095851965
162,-1.0218176e-06,0.008908364,0.09438413
163,4.157591e-06,0.008689547,0.09321774
164,-3.7249872e-06,0.008474286,0.09205589
165,3.0680374e-06,0.008194468,0.0905233
166,1.2903602e-06,0.007876962,0.088752255
167,-4.9787027e-06,0.0076233307,0.087311685
168,5.13715e-06,0.0074305567,0.08620068
169,-4.509861e-06,0.007241444,0.08509667
170,1.7868575e-07,0.0070375907,0.08389035
171,-1.3261038e-07,0.0068275877,0.08262922
172,3.4162022e-07,0.0066244006,0.08139042
173,-8.994578e-07,0.006445767,0.080285534
174,-1.5210547e-07,0.0062926738,0.07932638
175,-1.318091e-06,0.006115033,0.07819868
176,9.355043e-07,0.005963264,0.077222176
